DE;De(barra);PARA;Para(barra);q;p
AREIA--PR525;933;SEGRED-PR525;856;2,79E-04;9,9972E-01
AREIA--PR525;933;BATEIA-PR525;895;1,26E-03;9,9874E-01
AREIA--PR525;933;CNOVOS-SC525;955;8,66E-04;9,9913E-01
AREIA--PR525;933;CURITI-PR525;959;1,16E-03;9,9884E-01
AREIA--PR525;933;IVAIPE-PR525;999;8,51E-04;9,9915E-01
BATEIA-PR525;895;CURITI-PR525;959;1,65E-04;9,9984E-01
BIGUAC-SC525;946;BLUMEN-SC525;938;4,28E-04;9,9957E-01
BIGUAC-SC525;946;CNOVOS-SC525;955;1,15E-03;9,9885E-01
BLUMEN-SC525;938;CNOVOS-SC525;955;1,24E-03;9,9876E-01
BLUMEN-SC525;938;CURITI-PR525;959;6,78E-04;9,9932E-01
CASCOE-PR525;896;SCAXIA-PR525;897;3,10E-04;9,9969E-01
CASCOE-PR525;896;IVAIPE-PR525;999;1,03E-03;9,9897E-01
CAXIAS-RS525;964;CNOVOS-SC525;955;9,99E-04;9,9900E-01
CAXIAS-RS525;964;GRAVAT-RS525;976;3,87E-04;9,9961E-01
CAXIAS-RS525;964;ITA-----0425;995;1,25E-03;9,9875E-01
CNOVOS-SC525;955;NSRITA-RS525;979;1,26E-03;9,9874E-01
CNOVOS-SC525;955;MACHAD-SC525;1030;1,96E-04;9,9980E-01
GRAVAT-RS525;976;NSRITA-RS525;979;1,45E-04;9,9985E-01
ITA-----0425;995;NSRITA-RS525;979;1,54E-03;9,9846E-01
ITA-----0425;995;MACHAD-SC525;1030;3,18E-04;9,9968E-01
ITA-----0425;995;SSANTI-PR525;1060;9,19E-04;9,9908E-01
IVAIPE-PR525;999;SSANTI-PR525;1060;8,21E-04;9,9918E-01
SCAXIA-PR525;897;SSANTI-PR525;1060;4,43E-04;9,9956E-01
SEGRED-PR525;856;SSANTI-PR525;1060;2,98E-04;9,9970E-01
AREIA-230;934;CURITI-PR230;960;6,59E-04;9,9934E-01
AREIA-230;934;SOSORIO-230;1047;4,30E-04;9,9957E-01
BIGUAC-SC230;947;BLUMEN-SC230;939;3,36E-04;9,9966E-01
BIGUAC-SC230;947;JLAC-B-SC230;1010;3,47E-04;9,9965E-01
BLUMEN-SC230;939;JOINOR-SC230;1015;1,96E-04;9,9980E-01
CASCAV-PR230;839;SOSORIO-230;1047;2,15E-04;9,9978E-01
CASCAV-PR230;839;CASCOE-PR230;2458;2,76E-05;9,9997E-01
CAXIAS-RS230;965;MCLARO-RS230;963;1,43E-04;9,9986E-01
CAXIAS-RS230;965;SIDERO-SC230;1057;5,64E-04;9,9944E-01
CURITI-PR230;960;JOINOR-SC230;1015;2,68E-04;9,9973E-01
JLAC-B-SC230;1010;SIDERO-SC230;1057;1,27E-04;9,9987E-01
MCLARO-RS230;963;PFUNDO-RS230;1041;6,12E-04;9,9939E-01
PFUNDO-RS230;1041;XANXER-SC230;1069;2,12E-04;9,9979E-01
SOSORIO-230;1047;XANXER-SC230;1069;4,34E-04;9,9957E-01
