Data_Escala_de_Tempo;cod_aneel_tb_referenciacegusina_Usina;cod_nucleoaneel_tb_referenciacegusina_Usina;Data_Dica;dsc_estado;id_subsistema;nom_tipousinasite;nom_usina2;Período_Exibido_GE;Selecione_Tipo_de_GE_Simp_4
;UTE.FL.RS.030666-5.01;030666-5;;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;170.814959
01/01/2018 00:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 0:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.02293
01/01/2018 01:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 1:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.019551
01/01/2018 02:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 2:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.011956
01/01/2018 03:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 3:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.024773
01/01/2018 04:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 4:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.027825
01/01/2018 05:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 5:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.025059
01/01/2018 06:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 6:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.023651
01/01/2018 07:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 7:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.027391
01/01/2018 08:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 8:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.027669
01/01/2018 09:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 9:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.027594
01/01/2018 10:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 10:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.027531
01/01/2018 11:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 11:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.025917
01/01/2018 12:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 12:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.024919
01/01/2018 13:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 13:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.02273
01/01/2018 14:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 14:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.022095
01/01/2018 15:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 15:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.025257
01/01/2018 16:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 16:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.023708
01/01/2018 17:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 17:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.022729
01/01/2018 18:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 18:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.021588
01/01/2018 19:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 19:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018305
01/01/2018 20:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 20:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.016041
01/01/2018 21:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 21:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.016114
01/01/2018 22:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 22:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.017285
01/01/2018 23:00:00;UTE.FL.RS.030666-5.01;030666-5;1/1/2018 23:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.013739
02/01/2018 00:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 0:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.015285
02/01/2018 01:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 1:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.014881
02/01/2018 02:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 2:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.015557
02/01/2018 03:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 3:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.012715
02/01/2018 04:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 4:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.014618
02/01/2018 05:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 5:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.014567
02/01/2018 06:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 6:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.014365
02/01/2018 07:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 7:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.016757
02/01/2018 08:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 8:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.013782
02/01/2018 09:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 9:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.015095
02/01/2018 10:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 10:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.01659
02/01/2018 11:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 11:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018157
02/01/2018 12:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 12:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.017412
02/01/2018 13:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 13:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.015249
02/01/2018 14:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 14:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.019282
02/01/2018 15:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 15:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.019727
02/01/2018 16:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 16:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018573
02/01/2018 17:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 17:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.020839
02/01/2018 18:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 18:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.021409
02/01/2018 19:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 19:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.021519
02/01/2018 20:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 20:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.016903
02/01/2018 21:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 21:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018639
02/01/2018 22:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 22:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.016271
02/01/2018 23:00:00;UTE.FL.RS.030666-5.01;030666-5;2/1/2018 23:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018372
03/01/2018 00:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 0:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.016338
03/01/2018 01:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 1:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.020045
03/01/2018 02:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 2:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.020156
03/01/2018 03:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 3:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.01784
03/01/2018 04:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 4:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.019082
03/01/2018 05:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 5:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018752
03/01/2018 06:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 6:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018282
03/01/2018 07:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 7:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.017931
03/01/2018 08:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 8:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.020144
03/01/2018 09:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 9:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.019969
03/01/2018 10:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 10:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.021224
03/01/2018 11:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 11:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.01202
03/01/2018 12:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 12:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.015959
03/01/2018 13:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 13:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.015684
03/01/2018 14:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 14:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018486
03/01/2018 15:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 15:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.020771
03/01/2018 16:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 16:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.017071
03/01/2018 17:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 17:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.017067
03/01/2018 18:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 18:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.017517
03/01/2018 19:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 19:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018093
03/01/2018 20:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 20:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.016714
03/01/2018 21:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 21:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.017376
03/01/2018 22:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 22:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.015049
03/01/2018 23:00:00;UTE.FL.RS.030666-5.01;030666-5;3/1/2018 23:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.022911
04/01/2018 00:00:00;UTE.FL.RS.030666-5.01;030666-5;4/1/2018 0:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.025048
04/01/2018 01:00:00;UTE.FL.RS.030666-5.01;030666-5;4/1/2018 1:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.024801
04/01/2018 02:00:00;UTE.FL.RS.030666-5.01;030666-5;4/1/2018 2:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.02689
04/01/2018 03:00:00;UTE.FL.RS.030666-5.01;030666-5;4/1/2018 3:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.024972
04/01/2018 04:00:00;UTE.FL.RS.030666-5.01;030666-5;4/1/2018 4:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.022173
04/01/2018 05:00:00;UTE.FL.RS.030666-5.01;030666-5;4/1/2018 5:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.016472
04/01/2018 06:00:00;UTE.FL.RS.030666-5.01;030666-5;4/1/2018 6:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.017039
04/01/2018 07:00:00;UTE.FL.RS.030666-5.01;030666-5;4/1/2018 7:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018146
